,分类,4,,,
福建省漳州市云霄县,华南销售大区,福建省,漳州市,云霄县,空白区域
广东省广州市白云区,华南销售大区,广东省,广州市,白云区,空白区域
广东省广州市荔湾区,华南销售大区,广东省,广州市,荔湾区,正常服务
广东省惠州市惠城区,华南销售大区,广东省,惠州市,惠城区,空白区域
广东省揭阳市榕城区,华南销售大区,广东省,揭阳市,榕城区,空白区域
广东省汕头市濠江区,华南销售大区,广东省,汕头市,濠江区,空白区域
广东省深圳市宝安区,华南销售大区,广东省,深圳市,宝安区,正常服务
广东省深圳市龙岗区,华南销售大区,广东省,深圳市,龙岗区,空白区域
广东省云浮市罗定市,华南销售大区,广东省,云浮市,罗定市,正常服务
广东省湛江市雷州市,华南销售大区,广东省,湛江市,雷州市,空白区域
广西壮族自治区桂林市恭城瑶族自治县,华南销售大区,广西壮族自治区,桂林市,恭城瑶族自治县,空白区域
广西壮族自治区桂林市兴安县,华南销售大区,广西壮族自治区,桂林市,兴安县,空白区域
广西壮族自治区柳州市城中区,华南销售大区,广西壮族自治区,柳州市,城中区,正常服务
海南省儋州市儋州市,华南销售大区,海南省,儋州市,儋州市,正常服务
江西省赣州市赣县区,华南销售大区,江西省,赣州市,赣县区,正常服务
江西省九江市都昌县,华南销售大区,江西省,九江市,都昌县,空白区域
江西省宜春市靖安县,华南销售大区,江西省,宜春市,靖安县,空白区域
湖北省黄冈市黄梅县,华中销售大区,湖北省,黄冈市,黄梅县,正常服务
湖北省荆门市掇刀区,华中销售大区,湖北省,荆门市,掇刀区,空白区域
湖北省十堰市房县,华中销售大区,湖北省,十堰市,房县,正常服务
湖北省咸宁市赤壁市,华中销售大区,湖北省,咸宁市,赤壁市,正常服务
湖北省咸宁市通城县,华中销售大区,湖北省,咸宁市,通城县,正常服务
湖南省常德市津市市,华中销售大区,湖南省,常德市,津市市,空白区域
湖南省常德市临澧县,华中销售大区,湖南省,常德市,临澧县,正常服务
湖南省益阳市南县,华中销售大区,湖南省,益阳市,南县,空白区域
湖南省益阳市沅江市,华中销售大区,湖南省,益阳市,沅江市,正常服务
江苏省淮安市金湖县,江北销售大区,江苏省,淮安市,金湖县,正常服务
江苏省盐城市阜宁县,江北销售大区,江苏省,盐城市,阜宁县,正常服务
江苏省扬州市宝应县,江北销售大区,江苏省,扬州市,宝应县,正常服务
江苏省扬州市高邮市,江北销售大区,江苏省,扬州市,高邮市,正常服务
江苏省扬州市邗江区,江北销售大区,江苏省,扬州市,邗江区,正常服务
江苏省南京市鼓楼区,江南销售大区,江苏省,南京市,鼓楼区,空白区域
江苏省南通市如皋市,江南销售大区,江苏省,南通市,如皋市,空白区域
江苏省苏州市张家港市,江南销售大区,江苏省,苏州市,张家港市,空白区域
江苏省无锡市江阴市,江南销售大区,江苏省,无锡市,江阴市,正常服务
江苏省镇江市句容市,江南销售大区,江苏省,镇江市,句容市,正常服务
上海市上海市崇明区,江南销售大区,上海市,上海市,崇明区,空白区域
浙江省衢州市衢江区,江南销售大区,浙江省,衢州市,衢江区,空白区域
内蒙古自治区巴彦淖尔市磴口县,晋蒙销售大区,内蒙古自治区,巴彦淖尔市,磴口县,空白区域
内蒙古自治区巴彦淖尔市杭锦后旗,晋蒙销售大区,内蒙古自治区,巴彦淖尔市,杭锦后旗,正常服务
内蒙古自治区包头市达尔罕茂明安联合旗,晋蒙销售大区,内蒙古自治区,包头市,达尔罕茂明安联合旗,正常服务
内蒙古自治区鄂尔多斯市康巴什区,晋蒙销售大区,内蒙古自治区,鄂尔多斯市,康巴什区,正常服务
内蒙古自治区呼和浩特市托克托县,晋蒙销售大区,内蒙古自治区,呼和浩特市,托克托县,正常服务
内蒙古自治区锡林郭勒盟阿巴嘎旗,晋蒙销售大区,内蒙古自治区,锡林郭勒盟,阿巴嘎旗,空白区域
内蒙古自治区锡林郭勒盟东乌珠穆沁旗,晋蒙销售大区,内蒙古自治区,锡林郭勒盟,东乌珠穆沁旗,空白区域
内蒙古自治区锡林郭勒盟西乌珠穆沁旗,晋蒙销售大区,内蒙古自治区,锡林郭勒盟,西乌珠穆沁旗,空白区域
内蒙古自治区锡林郭勒盟镶黄旗,晋蒙销售大区,内蒙古自治区,锡林郭勒盟,镶黄旗,空白区域
山西省晋城市高平市,晋蒙销售大区,山西省,晋城市,高平市,正常服务
山西省晋城市陵川县,晋蒙销售大区,山西省,晋城市,陵川县,正常服务
山西省晋城市阳城县,晋蒙销售大区,山西省,晋城市,阳城县,正常服务
山西省晋中市太谷区,晋蒙销售大区,山西省,晋中市,太谷区,正常服务
山西省临汾市汾西县,晋蒙销售大区,山西省,临汾市,汾西县,正常服务
山西省临汾市古县,晋蒙销售大区,山西省,临汾市,古县,正常服务
山西省临汾市洪洞县,晋蒙销售大区,山西省,临汾市,洪洞县,正常服务
山西省临汾市侯马市,晋蒙销售大区,山西省,临汾市,侯马市,正常服务
山西省临汾市霍州市,晋蒙销售大区,山西省,临汾市,霍州市,正常服务
山西省临汾市吉县,晋蒙销售大区,山西省,临汾市,吉县,正常服务
山西省临汾市隰县,晋蒙销售大区,山西省,临汾市,隰县,空白区域
山西省临汾市乡宁县,晋蒙销售大区,山西省,临汾市,乡宁县,正常服务
山西省临汾市襄汾县,晋蒙销售大区,山西省,临汾市,襄汾县,正常服务
山西省临汾市翼城县,晋蒙销售大区,山西省,临汾市,翼城县,正常服务
山西省临汾市永和县,晋蒙销售大区,山西省,临汾市,永和县,空白区域
山西省太原市阳曲县,晋蒙销售大区,山西省,太原市,阳曲县,正常服务
山西省运城市河津市,晋蒙销售大区,山西省,运城市,河津市,正常服务
山西省运城市稷山县,晋蒙销售大区,山西省,运城市,稷山县,正常服务
山西省运城市绛县,晋蒙销售大区,山西省,运城市,绛县,空白区域
山西省运城市临猗县,晋蒙销售大区,山西省,运城市,临猗县,正常服务
山西省运城市平陆县,晋蒙销售大区,山西省,运城市,平陆县,正常服务
山西省运城市芮城县,晋蒙销售大区,山西省,运城市,芮城县,空白区域
山西省运城市闻喜县,晋蒙销售大区,山西省,运城市,闻喜县,正常服务
山西省运城市夏县,晋蒙销售大区,山西省,运城市,夏县,正常服务
山西省运城市永济市,晋蒙销售大区,山西省,运城市,永济市,正常服务
山西省运城市垣曲县,晋蒙销售大区,山西省,运城市,垣曲县,正常服务
山西省长治市壶关县,晋蒙销售大区,山西省,长治市,壶关县,正常服务
山西省长治市黎城县,晋蒙销售大区,山西省,长治市,黎城县,正常服务
山西省长治市潞城区,晋蒙销售大区,山西省,长治市,潞城区,正常服务
山西省长治市平顺县,晋蒙销售大区,山西省,长治市,平顺县,正常服务
山西省长治市沁县,晋蒙销售大区,山西省,长治市,沁县,正常服务
山西省长治市沁源县,晋蒙销售大区,山西省,长治市,沁源县,正常服务
山西省长治市屯留区,晋蒙销售大区,山西省,长治市,屯留区,正常服务
山西省长治市武乡县,晋蒙销售大区,山西省,长治市,武乡县,正常服务
山西省长治市襄垣县,晋蒙销售大区,山西省,长治市,襄垣县,正常服务
山西省长治市长子县,晋蒙销售大区,山西省,长治市,长子县,正常服务
陕西省榆林市横山区,晋蒙销售大区,陕西省,榆林市,横山区,正常服务
陕西省榆林市神木市,晋蒙销售大区,陕西省,榆林市,神木市,正常服务
甘肃省酒泉市敦煌市,青藏疆销售大区,甘肃省,酒泉市,敦煌市,正常服务
青海省果洛藏族自治州班玛县,青藏疆销售大区,青海省,果洛藏族自治州,班玛县,正常服务
青海省果洛藏族自治州达日县,青藏疆销售大区,青海省,果洛藏族自治州,达日县,正常服务
青海省果洛藏族自治州甘德县,青藏疆销售大区,青海省,果洛藏族自治州,甘德县,正常服务
青海省海东市乐都区,青藏疆销售大区,青海省,海东市,乐都区,正常服务
青海省海东市循化撒拉族自治县,青藏疆销售大区,青海省,海东市,循化撒拉族自治县,正常服务
青海省海南藏族自治州贵德县,青藏疆销售大区,青海省,海南藏族自治州,贵德县,正常服务
青海省海西蒙古族藏族自治州格尔木市,青藏疆销售大区,青海省,海西蒙古族藏族自治州,格尔木市,正常服务
青海省玉树藏族自治州曲麻莱县,青藏疆销售大区,青海省,玉树藏族自治州,曲麻莱县,正常服务
西藏自治区阿里地区噶尔县,青藏疆销售大区,西藏自治区,阿里地区,噶尔县,正常服务
西藏自治区林芝市巴宜区,青藏疆销售大区,西藏自治区,林芝市,巴宜区,正常服务
西藏自治区那曲市色尼区,青藏疆销售大区,西藏自治区,那曲市,色尼区,正常服务
西藏自治区日喀则市江孜县,青藏疆销售大区,西藏自治区,日喀则市,江孜县,正常服务
西藏自治区山南市乃东区,青藏疆销售大区,西藏自治区,山南市,乃东区,正常服务
新疆维吾尔自治区阿克苏地区温宿县,青藏疆销售大区,新疆维吾尔自治区,阿克苏地区,温宿县,正常服务
新疆维吾尔自治区阿拉尔市阿拉尔市,青藏疆销售大区,新疆维吾尔自治区,阿拉尔市,阿拉尔市,正常服务
新疆维吾尔自治区阿勒泰地区阿勒泰市,青藏疆销售大区,新疆维吾尔自治区,阿勒泰地区,阿勒泰市,正常服务
新疆维吾尔自治区阿勒泰地区布尔津县,青藏疆销售大区,新疆维吾尔自治区,阿勒泰地区,布尔津县,正常服务
新疆维吾尔自治区昌吉回族自治州昌吉市,青藏疆销售大区,新疆维吾尔自治区,昌吉回族自治州,昌吉市,正常服务
新疆维吾尔自治区昌吉回族自治州阜康市,青藏疆销售大区,新疆维吾尔自治区,昌吉回族自治州,阜康市,正常服务
新疆维吾尔自治区昌吉回族自治州呼图壁县,青藏疆销售大区,新疆维吾尔自治区,昌吉回族自治州,呼图壁县,正常服务
新疆维吾尔自治区和田地区和田市,青藏疆销售大区,新疆维吾尔自治区,和田地区,和田市,正常服务
新疆维吾尔自治区喀什地区喀什市,青藏疆销售大区,新疆维吾尔自治区,喀什地区,喀什市,正常服务
新疆维吾尔自治区喀什地区莎车县,青藏疆销售大区,新疆维吾尔自治区,喀什地区,莎车县,正常服务
新疆维吾尔自治区喀什地区疏勒县,青藏疆销售大区,新疆维吾尔自治区,喀什地区,疏勒县,正常服务
新疆维吾尔自治区克拉玛依市独山子区,青藏疆销售大区,新疆维吾尔自治区,克拉玛依市,独山子区,正常服务
新疆维吾尔自治区塔城地区塔城市,青藏疆销售大区,新疆维吾尔自治区,塔城地区,塔城市,正常服务
新疆维吾尔自治区塔城地区裕民县,青藏疆销售大区,新疆维吾尔自治区,塔城地区,裕民县,正常服务
新疆维吾尔自治区图木舒克市图木舒克市,青藏疆销售大区,新疆维吾尔自治区,图木舒克市,图木舒克市,正常服务
新疆维吾尔自治区吐鲁番市鄯善县,青藏疆销售大区,新疆维吾尔自治区,吐鲁番市,鄯善县,正常服务
新疆维吾尔自治区乌鲁木齐市达坂城区,青藏疆销售大区,新疆维吾尔自治区,乌鲁木齐市,达坂城区,正常服务
新疆维吾尔自治区乌鲁木齐市米东区,青藏疆销售大区,新疆维吾尔自治区,乌鲁木齐市,米东区,正常服务
新疆维吾尔自治区乌鲁木齐市水磨沟区,青藏疆销售大区,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,正常服务
新疆维吾尔自治区乌鲁木齐市天山区,青藏疆销售大区,新疆维吾尔自治区,乌鲁木齐市,天山区,正常服务
新疆维吾尔自治区乌鲁木齐市头屯河区,青藏疆销售大区,新疆维吾尔自治区,乌鲁木齐市,头屯河区,正常服务
新疆维吾尔自治区乌鲁木齐市乌鲁木齐县,青藏疆销售大区,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐县,正常服务
新疆维吾尔自治区五家渠市五家渠市,青藏疆销售大区,新疆维吾尔自治区,五家渠市,五家渠市,正常服务
新疆维吾尔自治区伊犁哈萨克自治州霍城县,青藏疆销售大区,新疆维吾尔自治区,伊犁哈萨克自治州,霍城县,正常服务
新疆维吾尔自治区伊犁哈萨克自治州伊宁县,青藏疆销售大区,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁县,正常服务
山东省济南市济阳区,山东销售大区,山东省,济南市,济阳区,正常服务
山东省聊城市茌平区,山东销售大区,山东省,聊城市,茌平区,正常服务
甘肃省甘南藏族自治州合作市,西北销售大区,甘肃省,甘南藏族自治州,合作市,正常服务
甘肃省甘南藏族自治州碌曲县,西北销售大区,甘肃省,甘南藏族自治州,碌曲县,正常服务
甘肃省甘南藏族自治州玛曲县,西北销售大区,甘肃省,甘南藏族自治州,玛曲县,正常服务
甘肃省临夏回族自治州东乡族自治县,西北销售大区,甘肃省,临夏回族自治州,东乡族自治县,正常服务
甘肃省临夏回族自治州广河县,西北销售大区,甘肃省,临夏回族自治州,广河县,正常服务
内蒙古自治区乌海市海勃湾区,西北销售大区,内蒙古自治区,乌海市,海勃湾区,正常服务
内蒙古自治区乌海市海南区,西北销售大区,内蒙古自治区,乌海市,海南区,正常服务
内蒙古自治区乌海市乌达区,西北销售大区,内蒙古自治区,乌海市,乌达区,正常服务
陕西省安康市石泉县,西北销售大区,陕西省,安康市,石泉县,正常服务
陕西省安康市镇坪县,西北销售大区,陕西省,安康市,镇坪县,正常服务
河南省洛阳市汝阳县,豫北销售大区,河南省,洛阳市,汝阳县,正常服务
河南省郑州市管城回族区,豫北销售大区,河南省,郑州市,管城回族区,正常服务
河南省南阳市桐柏县,豫南销售大区,河南省,南阳市,桐柏县,正常服务
河南省平顶山市舞钢市,豫南销售大区,河南省,平顶山市,舞钢市,正常服务
河南省信阳市淮滨县,豫南销售大区,河南省,信阳市,淮滨县,正常服务
云南省大理白族自治州巍山彝族回族自治县,云贵销售大区,云南省,大理白族自治州,巍山彝族回族自治县,正常服务
云南省德宏傣族景颇族自治州陇川县,云贵销售大区,云南省,德宏傣族景颇族自治州,陇川县,正常服务
云南省德宏傣族景颇族自治州盈江县,云贵销售大区,云南省,德宏傣族景颇族自治州,盈江县,正常服务
云南省红河哈尼族彝族自治州绿春县,云贵销售大区,云南省,红河哈尼族彝族自治州,绿春县,正常服务
云南省昆明市官渡区,云贵销售大区,云南省,昆明市,官渡区,正常服务
云南省普洱市景谷傣族彝族自治县,云贵销售大区,云南省,普洱市,景谷傣族彝族自治县,正常服务
云南省普洱市孟连傣族拉祜族佤族自治县,云贵销售大区,云南省,普洱市,孟连傣族拉祜族佤族自治县,正常服务
云南省普洱市思茅区,云贵销售大区,云南省,普洱市,思茅区,正常服务
云南省西双版纳傣族自治州勐腊县,云贵销售大区,云南省,西双版纳傣族自治州,勐腊县,正常服务
重庆市重庆市城口县,云贵销售大区,重庆市,重庆市,城口县,正常服务
,总计,,,,正常服务
